Dealer name;Provinces
Arista HR Muhammad;Jawa Timur
AJM Kudus;Jawa Tengah
Kumala Bandung BKR;Jawa Barat
Arista Kalimalang;DKI Jakarta
Arista Banda Aceh;Aceh
Arista Bandung Soekarno Hatta;Jawa Barat
Prima Cibubur;Jawa Barat
AJM Yogyakarta;Daerah Istimewa Yogyakarta
Perdana Kenjeran;Jawa Timur
Arista Kelapa Gading;DKI Jakarta
Arista Cirebon;Jawa Barat
Arista Balikpapan;Kalimantan Timur
AJM Pekalongan;Jawa Tengah
Prima Kupang;Nusa Tenggara Timur
AJM Salatiga;Jawa Tengah
Arista Palangkaraya;Kalimantan Tengah
Arista Serang;Banten
Arista Medan SM Raja;Sumatera Utara
Arista Pekanbaru;Riau
Arista Tasikmalaya;Jawa Barat
Arista Cikarang;Jawa Barat
Prima Daan Mogot;Banten
AJM Tegal;Jawa Tengah
Maju Motor Pondok Gede;DKI Jakarta
Prima Mojokerto;Jawa Timur
Kumala Cemerlang Abadi Makassar;Sulawesi Selatan
Arista Cikokol;Banten
Kumala Lebakwangi;Jawa Barat
Maju Motor Padang;Sumatera Barat
Perdana Pasuruan;Jawa Timur
Arista Cengkareng;DKI Jakarta
Arista Pontianak;Kalimantan Barat
Maju Motor Palembang;Sumatera Selatan
Maju Motor Imam Bonjol;Banten
Maju Motor Wiyung;Jawa Timur
Arista Bekasi;Jawa Barat
Arista Gading Serpong;Banten
ARISTA Medan Cemara;Sumatera Utara
Maju Motor Jambi;Jambi
Arista Medan Adam Malik;Sumatera Utara
Arista Garuda;DKI Jakarta
Arista Bintaro;Banten
Prima Cikupa;Banten
Kumala Cemerlang Abadi Pare-Pare;Sulawesi Selatan
Perdana Sidoarjo;Jawa Timur
Maju Motor Denpasar Timur;Bali
Kumala Pondok Indah;DKI Jakarta
Maju Palembang Simpang Polda;Sumatera Selatan
Arista Lampung;Lampung
Arista Jember;Jawa Timur
Arista P. Jayakarta;DKI Jakarta
Arista Cibinong;Jawa Barat
Perdana Kediri;Jawa Timur
Arista Purwakarta;Jawa Barat
Perdana Malang;Jawa Timur
Maju Mobilindo Batam;Kepulauan Riau
Arista Kramat Jati;DKI Jakarta
Arista Bandung PH Mustofa;Jawa Barat
AJM Purwokerto;Jawa Tengah
BLSS Basuki Rahmat;Jawa Timur
Arista Banyuwangi;Jawa Timur
Arista Pluit;DKI Jakarta
Kumala Cemerlang Abadi Gorontalo;Gorontalo
Arista Ciledug;Banten
Arista Jemursari;Jawa Timur
Maju Motor RE Martadinata;Banten
Kumala Cemerlang Abadi Bone;Sulawesi Selatan
AJM Solo;Jawa Tengah
Kumala Cemerlang Abadi Palopo;Sulawesi Selatan
AJM Yogyakarta Mlati;Daerah Istimewa Yogyakarta
Kumala Cemerlang Abadi Denpasar;Bali
Maju Motor Setiabudi;Jawa Barat
Kumala Cemerlang Abadi Palu;Sulawesi Tengah
AJM Magelang;Jawa Tengah
Arista Depok;Jawa Barat
Kumala Motor Minahasa Utara;Sulawesi Utara
Maju Motor Lubuklinggau;Sumatera Selatan
AJM Semarang Srondol;Jawa Tengah
Kumala Cemerlang Abadi Kendari;Sulawesi Tenggara
Prima Kebon Jeruk;DKI Jakarta
AJM Semarang Sudirman;Jawa Tengah
Arista Sukabumi;Jawa Barat
Maju Motor Tanjung Pinang;Kepulauan Riau
Maju Motor Mataram;Nusa Tenggara Barat
Arista Banjarmasin;Kalimantan Selatan
Maju Motor Badung;Bali
Kumala Motor Baubau;Sulawesi Tenggara
Perdana Jombang;Jawa Timur
Arista Samarinda;Kalimantan Timur
Kumala Cemerlang Abadi Tomohon;Sulawesi Utara
Maju Motor Cikarang Barat;Jawa Barat
Kumala Kotamobagu;Sulawesi Utara
Kumala Manado Malalayang;Sulawesi Utara
Kumala Motor Manado;Sulawesi Utara
Arista Bogor;Jawa Barat
BLSS Tuban;Jawa Timur
Kumala Motor Gianyar;Bali
Prima Fatmawati;DKI Jakarta
Arista Probolinggo;Jawa Timur
Arista Tunjungan;Jawa Timur
Arista Karawang;Jawa Barat
Kumala Cemerlang Abadi Mamuju;Sulawesi Barat
Kumala Motor Ternate;Maluku Utara
ARISTA Cimahi;Jawa Barat
Maju Motor Bangka;Kepulauan Bangka Belitung
Kumala Cemerlang Abadi Kolaka;Sulawesi Tenggara
Arista Bengkulu;Bengkulu
WAS Jagakarsa;DKI Jakarta
Kumala Alauddin;Sulawesi Selatan
Prima Madiun;Jawa Timur
Arista Cianjur;Jawa Barat
AJM Purworejo;Jawa Tengah
Prima Gresik;Jawa Timur
Arista Tambun;Jawa Barat
Arista Sidoarjo;Jawa Timur
Arista Indramayu;Jawa Barat
Perdana Gresik;Jawa Timur
Perdana Madiun;Jawa Timur
Perdana Mojokerto;Jawa Timur
Maju Motor Denpasar;Bali
